date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:51:16	151/151	U--MCZ	200	updated ('OK')	text/plain	date:Wed,%2024%20Sep%202025%2003:51:15%20GMT	/robots.txt		(from )
07:51:16	165469/165469	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2024%20Sep%202025%2003:51:16%20GMT	/	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/index.html	(from )
07:51:17	53614/53614	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-d16e%22	/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/plugins/elementor/assets/css/frontend.min20c8.css	(from /)
07:51:17	27596/27596	U-----	200	untouched ('')	image/webp	etag:%2268ceab5a-6bcc%22	/wp-content/uploads/2025/09/handshake2.webp	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/uploads/2025/09/handshake2.webp	(from /)
07:51:17	45731/45731	U-----	200	untouched ('OK')	text/css	etag:W/%2268c95997-b2a3%22	/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.12	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/themes/astra/assets/css/minified/main.min1415.css	(from /)
07:51:17	28950/28950	U-----	200	untouched ('')	image/webp	etag:%2268cc1fc6-7116%22	/wp-content/uploads/2025/09/getintouch.webp	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/uploads/2025/09/getintouch.webp	(from /)
07:51:17	59344/59344	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7599-e7d0%22	/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min20c8.css	(from /)
07:51:17	26702/26702	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7599-684e%22	/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min20c8.css	(from /)
07:51:17	1833/1833	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-729%22	/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/plugins/elementor/assets/css/widget-spacer.min20c8.css	(from /)
07:51:18	600/600	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-258%22	/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/wp-content/plugins/elementor/assets/css/widget-heading.min20c8.css	(from /)
