date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:38	151/151	U--MCZ	200	updated ('OK')	text/plain	date:Tue,%2030%20Sep%202025%2017:32:38%20GMT	http://localhost:10010/robots.txt		(from )
21:32:39	166879/166879	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2030%20Sep%202025%2017:32:39%20GMT	http://localhost:10010/	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/index.html	(from )
21:32:39	53614/53614	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-d16e%22	http://localhost:10010/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/css/frontend.min20c8.css	(from http://localhost:10010/)
21:32:39	155280/155280	U-----	200	untouched ('')	image/webp	etag:%2268d750bb-25e90%22	http://localhost:10010/wp-content/uploads/2025/09/handshake-scaled.webp	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/uploads/2025/09/handshake-scaled.webp	(from http://localhost:10010/)
21:32:39	45731/45731	U-----	200	untouched ('OK')	text/css	etag:W/%2268c95997-b2a3%22	http://localhost:10010/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.12	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/themes/astra/assets/css/minified/main.min1415.css	(from http://localhost:10010/)
21:32:39	100300/100300	U-----	200	untouched ('')	image/webp	etag:%2268d4f3a8-187cc%22	http://localhost:10010/wp-content/uploads/2025/09/contact-us-scaled.webp	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/uploads/2025/09/contact-us-scaled.webp	(from http://localhost:10010/)
21:32:39	59344/59344	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7599-e7d0%22	http://localhost:10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min20c8.css	(from http://localhost:10010/)
21:32:40	26702/26702	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7599-684e%22	http://localhost:10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min20c8.css	(from http://localhost:10010/)
21:32:40	600/600	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-258%22	http://localhost:10010/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/css/widget-heading.min20c8.css	(from http://localhost:10010/)
21:32:40	1833/1833	U-----	200	untouched ('OK')	text/css	etag:W/%2268cc7598-729%22	http://localhost:10010/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/css/widget-spacer.min20c8.css	(from http://localhost:10010/)
21:32:40	254/254	U-----	200	untouched ('OK')	text/css	etag:%2268cc7598-fe%22	http://localhost:10010/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.2	C:/Users/moham/Desktop/Export/Novimetrix/localhost_10010/localhost_10010/wp-content/plugins/elementor/assets/css/widget-image.min20c8.css	(from http://localhost:10010/)
